,headline,source,date
282,"alas, poor new york: shakespeare in the park is canceled",The New York Times,2020-04-17T14:00:09+0000
283,"stuart cohen, a cabdriver thirsty for knowledge, dies at 73",The New York Times,2020-04-15T19:50:41+0000
284,governors plot reopening the economy but say they still lack tests,The New York Times,2020-04-19T21:49:53+0000
285,food workers say c.d.c. guidelines put them at greater risk for infection,The New York Times,2020-04-13T21:32:19+0000
286,"britain’s coronavirus lockdown is extended, and putin postpones military parade",The New York Times,2020-04-16T04:02:42+0000
287,italy coronavirus map and case count,The New York Times,2020-04-16T14:18:25+0000
288,it’s the worst possible time for trump to make false claims of authority,The New York Times,2020-04-14T16:50:23+0000
289,lesson from singapore: why we may need to think bigger,The New York Times,2020-04-14T09:00:33+0000
290,italy coronavirus map and case count,The New York Times,2020-04-16T14:18:25+0000
291,a privacy absolutist isn’t so sure anymore,The New York Times,2020-04-17T16:39:07+0000
292,17 artists capture a surreal new york from their windows,The New York Times,2020-04-16T09:00:03+0000
293,u.k. coronavirus map and case count,The New York Times,2020-04-16T15:17:34+0000
294,coronavirus briefing: what happened today,The New York Times,2020-04-14T23:08:35+0000
295,"how to get to ‘sesame street’? these days, it’s by video conference",The New York Times,2020-04-13T18:34:05+0000
296,cuomo insists he doesn’t want a fight with trump,The New York Times,2020-04-14T11:07:03+0000
297,cuomo and trump spar over coronavirus aid to new york,The New York Times,2020-04-17T11:12:22+0000
298,"kimarlee nguyen, writer who explored cambodian roots, dies at 33",The New York Times,2020-04-15T19:20:38+0000
299,"baghdad, a city gone still",The New York Times,2020-04-15T15:53:51+0000
300,"kimarlee nguyen, writer who explored cambodian roots, dies at 33",The New York Times,2020-04-15T19:20:38+0000
301,cuomo says ‘no decision’ yet made on keeping n.y.c. schools closed,Reuters,2020-04-11T15:16:26+0000
302,how to survive the coronavirus markets,The New York Times,2020-04-18T09:00:05+0000
303,travelers consider their risk tolerance,The New York Times,2020-04-16T09:00:16+0000
